BenchmarkStaticRoutes1ServeMux-8,31851897
BenchmarkStaticRoutes1Goblin-8,35242333
BenchmarkStaticRoutes1HTTPRouter-8,134900438
BenchmarkStaticRoutes1Chi-8,7252261
BenchmarkStaticRoutes1Gin-8,41631550
BenchmarkStaticRoutes1BunRouter-8,70006395
BenchmarkStaticRoutes1HTTPTreeMux-8,7859656
BenchmarkStaticRoutes1BeegoMux-8,25884801
BenchmarkStaticRoutes1GorillaMux-8,3094188
BenchmarkStaticRoutes1Bon-8,100000000
BenchmarkStaticRoutes1Denco-8,133846348
BenchmarkStaticRoutes1Echo-8,60949671
BenchmarkStaticRoutes1GocraftWeb-8,1578338
BenchmarkStaticRoutes1Gorouter-8,52163613
BenchmarkStaticRoutes1OzzoRouting-8,45524383
BenchmarkStaticRoutes1ON9tE9Routing-8,7664803
